app_name,genres
Lost Summoner Kitty,Action
Lost Summoner Kitty,Casual
Lost Summoner Kitty,Indie
Lost Summoner Kitty,Simulation
Lost Summoner Kitty,Strategy
Ironbound,Indie
Ironbound,RPG
Ironbound,Strategy
Real Pool 3D - Poolians,Casual
Real Pool 3D - Poolians,Indie
Real Pool 3D - Poolians,Simulation
Real Pool 3D - Poolians,Sports
弹炸人2222,Action
弹炸人2222,Adventure
弹炸人2222,Casual
Log Challenge,nan
Battle Royale Trainer,Action
Battle Royale Trainer,Adventure
Battle Royale Trainer,Simulation
SNOW - All Access Basic Pass,Indie
SNOW - All Access Basic Pass,Simulation
SNOW - All Access Basic Pass,Sports
SNOW - All Access Pro Pass,Indie
SNOW - All Access Pro Pass,Simulation
SNOW - All Access Pro Pass,Sports
SNOW - All Access Legend Pass,Indie
SNOW - All Access Legend Pass,Simulation
SNOW - All Access Legend Pass,Sports
Race,Casual
Race,Indie
Race,Racing
Race,Simulation
Uncanny Islands,Action
Uncanny Islands,Indie
Uncanny Islands,Simulation
Icarus Six Sixty Six,nan
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Action
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Adventure
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Casual
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Indie
Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,RPG
Beach Rules,Casual
Beach Rules,Indie
Planetarium 2 - Zen Odyssey,Casual
Planetarium 2 - Zen Odyssey,Indie
Planetarium 2 - Zen Odyssey,Simulation
The first thrust of God,Adventure
The first thrust of God,Casual
The first thrust of God,Indie
The first thrust of God,Simulation
The first thrust of God,Strategy
SNOW - Starter Pack,Indie
SNOW - Starter Pack,Simulation
SNOW - Starter Pack,Sports
The first thrust of God - All Aircrafts,Adventure
The first thrust of God - All Aircrafts,Casual
The first thrust of God - All Aircrafts,Indie
The first thrust of God - All Aircrafts,Simulation
The first thrust of God - All Aircrafts,Strategy
SNOW - Lifetime Pack,Indie
SNOW - Lifetime Pack,Simulation
SNOW - Lifetime Pack,Sports
After Life VR,nan
Kitty Hawk,nan
The Warrior Of Treasures,Action
The Warrior Of Treasures,Adventure
The Warrior Of Treasures,Indie
Mortars VR,nan
RC Plane 3 - Canyon Scenario,Racing
RC Plane 3 - Canyon Scenario,Simulation
RC Plane 3 - Canyon Scenario,Sports
RC Plane 3 - F-53B,Racing
RC Plane 3 - F-53B,Simulation
RC Plane 3 - F-53B,Sports
DinoBlaster,Action
DinoBlaster,Indie
Robotpencil Presents: Understanding 3D for Concept,nan
Carmageddon Max Pack,Action
Carmageddon Max Pack,Indie
Carmageddon Max Pack,Racing
Half-Life,Action
Fallen Mage,Action
Fallen Mage,Indie
Fallen Mage,RPG
Don't Get Hit In The Face,nan
Lost Cities,Casual
Lost Cities,Indie
Lost Cities,Strategy
Twisted Enhanced Edition,Action
Vaporwave Simulator,Casual
Vaporwave Simulator,Indie
Vaporwave Simulator,Simulation
Tactics Forever,Action
Tactics Forever,Casual
Tactics Forever,Indie
Tactics Forever,Massively Multiplayer
Tactics Forever,Simulation
Tactics Forever,Sports
Tactics Forever,Strategy
Christmas Santa Troubles,Adventure
Christmas Santa Troubles,Casual
Christmas Santa Troubles,Indie
Kingdom Watcher,nan
Underdone - Soundtrack,Action
Underdone - Soundtrack,Adventure
Underdone - Soundtrack,RPG
Bitcoin Clicker,Adventure
Bitcoin Clicker,Casual
Bitcoin Clicker,Indie
Bitcoin Clicker,RPG
Disciples II: Gallean's Return,Strategy
Disciples II: Rise of the Elves,Strategy
The Ship: Murder Party,Action
The Ship: Murder Party,Indie
The Ship: Murder Party,RPG
United Tactics,Strategy
Life of Rome,Indie
Life of Rome,Massively Multiplayer
Life of Rome,RPG
Idle Adventure,Adventure
Idle Adventure,RPG
Panoptic,nan
Souland,Action
Souland,Indie
Souland,Strategy
Darkness and a Crowd,Action
Darkness and a Crowd,Adventure
Darkness and a Crowd,Indie
Darkness and a Crowd,RPG
Darkness and a Crowd,Strategy
TAROTICA VOO DOO,Action
TAROTICA VOO DOO,Adventure
TAROTICA VOO DOO,Indie
TAROTICA VOO DOO,RPG
Chronicles of Vinland,Casual
Chronicles of Vinland,Strategy
Orbitality,Action
Orbitality,Indie
Medicalholodeck Personal Version,nan
Atomic Adam: Episode 1,Action
Atomic Adam: Episode 1,Adventure
Atomic Adam: Episode 1,Casual
Golf Masters,nan
Mirt. Tales of the Cold Land. Chapter 2,Adventure
Mirt. Tales of the Cold Land. Chapter 2,Casual
Mirt. Tales of the Cold Land. Chapter 2,Indie
Advent Rising,Action
DEFCON,Indie
DEFCON,Strategy
The Ship: Single Player,Action
The Ship: Single Player,Indie
The Ship: Single Player,RPG
Garry's Mod,Indie
Garry's Mod,Simulation
RACE - The WTCC Game,Racing
Zen of Sudoku,Casual
Zen of Sudoku,Indie
Gumboy - Crazy Adventures™,Casual
Gumboy - Crazy Adventures™,Indie
Ghost Master®,Strategy
Vegas: Make It Big™,Strategy
Dreamfall: The Longest Journey,Adventure
Dreamfall: The Longest Journey,RPG
FlatOut 2™,Racing
FlatOut,Racing
Lost Planet™: Extreme Condition,Action
Lost Planet™: Extreme Condition,Adventure
CivCity: Rome,Strategy
Arx Fatalis,RPG
The Longest Journey,Action
The Longest Journey,Adventure
The Longest Journey,RPG
Civilization IV®: Warlords,Strategy
Railroad Tycoon 3,Strategy
Sid Meier's Railroads!,Strategy
,nan
Railroad Tycoon II Platinum,Strategy
RIP - Trilogy™,Casual
RIP - Trilogy™,Indie
X-COM: Terror From the Deep,Strategy
Tomb Raider: Anniversary,Action
Tomb Raider: Anniversary,Adventure
Devil May Cry® 3 Special Edition,Action
Sam & Max 101: Culture Shock,Action
Sam & Max 101: Culture Shock,Adventure
Final DOOM,Action
Vigil: Blood Bitterness™,Indie
Vigil: Blood Bitterness™,RPG
Sam & Max 102: Situation: Comedy,Action
Sam & Max 102: Situation: Comedy,Adventure
Ultimate Doom,Action
Master Levels for Doom II,Action
DOOM II,Action
Wolfenstein 3D,Action
Return to Castle Wolfenstein,Action
QUAKE Mission Pack 1: Scourge of Armagon,Action
Spear of Destiny,Action
BloodRayne,Action
QUAKE Mission Pack 2: Dissolution of Eternity,Action
QUAKE,Action
Genesis Rising,Strategy
"Warhammer® 40,000: Dawn of War® – Winter Assault",Strategy
BioShock™,Action
BioShock™,RPG
