user_id,user_url,item_id,recommend,posted_year,sentiment_analysis
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,1250,1,2011,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,22200,1,2011,2
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,43110,1,2011,2
js41637,http://steamcommunity.com/id/js41637,251610,1,2014,2
js41637,http://steamcommunity.com/id/js41637,227300,1,2013,2
js41637,http://steamcommunity.com/id/js41637,239030,1,2013,2
evcentric,http://steamcommunity.com/id/evcentric,370360,1,2015,2
evcentric,http://steamcommunity.com/id/evcentric,237930,1,2014,2
evcentric,http://steamcommunity.com/id/evcentric,263360,1,2014,1
evcentric,http://steamcommunity.com/id/evcentric,107200,1,2014,2
evcentric,http://steamcommunity.com/id/evcentric,224500,1,2014,2
doctr,http://steamcommunity.com/id/doctr,250320,1,2013,2
doctr,http://steamcommunity.com/id/doctr,20920,1,2012,2
doctr,http://steamcommunity.com/id/doctr,204100,1,2012,2
doctr,http://steamcommunity.com/id/doctr,224600,1,2014,2
doctr,http://steamcommunity.com/id/doctr,207610,1,2012,0
doctr,http://steamcommunity.com/id/doctr,108710,1,2012,2
maplemage,http://steamcommunity.com/id/maplemage,211420,1,2014,1
maplemage,http://steamcommunity.com/id/maplemage,211820,1,2013,2
maplemage,http://steamcommunity.com/id/maplemage,730,1,2014,2
maplemage,http://steamcommunity.com/id/maplemage,204300,1,2013,2
Wackky,http://steamcommunity.com/id/Wackky,249130,1,2014,1
Wackky,http://steamcommunity.com/id/Wackky,207610,1,2012,0
Wackky,http://steamcommunity.com/id/Wackky,550,1,2012,2
Wackky,http://steamcommunity.com/id/Wackky,65800,1,2012,2
Wackky,http://steamcommunity.com/id/Wackky,220,1,2012,2
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,72850,1,2015,0
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,440,1,2014,1
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,304930,1,2014,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,4000,1,2013,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,42910,1,2012,1
death-hunter,http://steamcommunity.com/id/death-hunter,232090,1,2015,2
death-hunter,http://steamcommunity.com/id/death-hunter,1250,1,2015,2
death-hunter,http://steamcommunity.com/id/death-hunter,4000,1,2014,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,304930,1,2014,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,570,1,2013,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,218620,1,2015,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,224260,1,2013,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,1250,1,2013,0
DJKamBer,http://steamcommunity.com/id/DJKamBer,440,1,2012,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,730,1,2015,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,440,1,2014,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,49520,1,2014,1
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,33440,0,2014,1
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,220200,1,2015,2
PPanther,http://steamcommunity.com/id/PPanther,211820,1,2014,2
devvonst,http://steamcommunity.com/id/devvonst,440,1,2014,2
devvonst,http://steamcommunity.com/id/devvonst,218740,1,2014,2
devvonst,http://steamcommunity.com/id/devvonst,550,1,2015,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,238090,1,2015,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,277430,1,2014,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,8870,1,2015,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,368230,1,2015,0
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,33930,1,2013,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,359320,0,2015,0
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,219640,1,2015,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,287980,1,2015,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,208090,1,2015,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,242700,1,2014,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,570,0,2014,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,224260,1,2014,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,221100,1,2015,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,570,1,2014,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,331470,1,2014,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,4000,1,2014,2
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,304930,1,2014,2
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,12210,1,2015,2
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,265210,1,2014,1
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,48700,1,2014,2
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,730,1,2015,2
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,113200,1,2013,2
boydeer,http://steamcommunity.com/id/boydeer,440,1,2014,1
boydeer,http://steamcommunity.com/id/boydeer,383080,0,2015,1
VVillis,http://steamcommunity.com/id/VVillis,213670,1,2015,1
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,105600,1,2015,1
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,730,1,2015,0
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,570,1,2015,2
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,231180,1,2013,2
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,620,1,2012,2
diego9031,http://steamcommunity.com/id/diego9031,223710,1,2015,1
diego9031,http://steamcommunity.com/id/diego9031,299360,1,2015,1
diego9031,http://steamcommunity.com/id/diego9031,322330,1,2015,1
diego9031,http://steamcommunity.com/id/diego9031,1250,1,2015,1
diego9031,http://steamcommunity.com/id/diego9031,12100,1,2015,1
diego9031,http://steamcommunity.com/id/diego9031,204360,1,2015,2
diego9031,http://steamcommunity.com/id/diego9031,440,1,2013,1
diego9031,http://steamcommunity.com/id/diego9031,224260,1,2013,2
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,440,1,2012,2
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,440,1,2015,2
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,1840,1,2015,1
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,440,1,2013,2
Derp-e,http://steamcommunity.com/id/Derp-e,440,1,2015,2
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,233250,1,2014,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,248570,1,2015,1
Rivtex,http://steamcommunity.com/id/Rivtex,298630,1,2015,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,244210,1,2014,2
UTNerd24,http://steamcommunity.com/id/UTNerd24,440,1,2015,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,376920,1,2015,2
UTNerd24,http://steamcommunity.com/id/UTNerd24,257750,1,2015,2
UTNerd24,http://steamcommunity.com/id/UTNerd24,221910,1,2014,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,2280,1,2013,2
sandwiches1,http://steamcommunity.com/id/sandwiches1,417860,0,2015,1
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,218620,1,2014,2
lucaswerg,http://steamcommunity.com/id/lucaswerg,218620,1,2014,2
lucaswerg,http://steamcommunity.com/id/lucaswerg,222880,1,2014,1
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,377160,1,2015,2
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,211820,1,2013,2
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,252490,1,2015,0
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,440,1,2014,2
kube134,http://steamcommunity.com/id/kube134,251990,1,2014,2
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,344760,0,2015,0
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,252950,1,2015,1
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,399730,1,2015,2
yookobz,http://steamcommunity.com/id/yookobz,377160,1,2015,2
yookobz,http://steamcommunity.com/id/yookobz,219150,1,2013,2
Posiblydead,http://steamcommunity.com/id/Posiblydead,277430,1,2014,2
Posiblydead,http://steamcommunity.com/id/Posiblydead,239820,1,2014,2
Posiblydead,http://steamcommunity.com/id/Posiblydead,17410,1,2012,2
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,440,1,2015,2
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,270550,1,2015,2
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,274940,1,2015,2
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,333930,1,2015,0
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,440,1,2014,1
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,730,1,2014,1
sad-commie,http://steamcommunity.com/id/sad-commie,212070,1,2014,0
sad-commie,http://steamcommunity.com/id/sad-commie,264140,1,2014,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,332800,1,2014,1
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,319630,1,2015,2
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,6020,1,2015,0
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,55230,1,2015,2
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,32430,1,2014,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,35450,1,2015,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,440,1,2014,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,236390,1,2015,2
therealmorty,http://steamcommunity.com/id/therealmorty,351570,1,2015,2
therealmorty,http://steamcommunity.com/id/therealmorty,212680,1,2015,0
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,391540,1,2015,2
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,550,1,2014,0
YoHuNz,http://steamcommunity.com/id/YoHuNz,440,1,2014,1
YoHuNz,http://steamcommunity.com/id/YoHuNz,570,1,2014,1
possessioniskey,http://steamcommunity.com/id/possessioniskey,72850,1,2015,2
possessioniskey,http://steamcommunity.com/id/possessioniskey,440,1,2015,2
possessioniskey,http://steamcommunity.com/id/possessioniskey,113400,1,2014,2
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,440,1,2014,2
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,200510,1,2015,2
whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,730,1,2015,2
sergarino,http://steamcommunity.com/id/sergarino,383080,1,2015,2
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,1250,1,2014,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,265610,1,2015,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,264200,1,2014,1
Nozomikat,http://steamcommunity.com/id/Nozomikat,417860,1,2015,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,333600,1,2015,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,213670,1,2014,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,91310,1,2013,2
Nozomikat,http://steamcommunity.com/id/Nozomikat,210770,1,2013,2
xfluttersx,http://steamcommunity.com/id/xfluttersx,351640,1,2015,2
xfluttersx,http://steamcommunity.com/id/xfluttersx,105600,1,2012,2
xfluttersx,http://steamcommunity.com/id/xfluttersx,440,1,2014,2
